headword,pos,CEFR,notes
inexcusably,adverb,C1,
inexhaustible,adjective,C1,
unassisted,adjective,C1,
heighten,verb,C1,
fixture,noun,C1,
bulk,noun,C1,
bulky,adjective,C1,
bulk up,verb,C1,
digitalize/digitalise,verb,C1,
digitalization/digitalisation,noun,C1,
mark-up,noun,C1,
complementary,adjective,C1,
complimentary,adjective,C1,
staple,noun,C1,
wares,noun,C1,
testament,noun,C1,
succulent,noun,C1,
succulent,adjective,C1,
succulently,adverb,C1,
tranquil,adjective,C1,
tranquility,noun,C1,
spartan,adjective,C1,
peninsula,noun,C1,
billiards,noun,C1,
exude,verb,C2,
envisage,verb,C2,
headmistress,noun,C2,
mien,noun,C2,
timidity,noun,C2,
unravel,verb,C2,
concurrence,noun,C2,
unpromising,adjective,C2,
teem,verb,C2,
marvel,noun,C2,
outpatient,noun,C2,
corpse,noun,C2,
apprentice,verb,C2,
constrained,adjective,C2,
quirk,verb,C2,
indignant,adjective,C2,
indignantly,adverb,C2,
eccentricity,noun,C2,
locomotive,noun,C2,
locomotion,noun,C2,
individualism,noun,C2,
enthuse,verb,C2,
belligerent,adjective,C2,
belligerence,noun,C2,
stoicism,noun,C2,
deliberate,verb,C2,
recluse,noun,C2,
reclusive,adjective,C2,
metalled,adjective,C2,
brief,noun,C2,legal term
oblique,adjective,C2,
facsimile,noun,C2,
shamble,verb,C2,
whir,verb,C2,
blight,noun,C2,
blight,verb,C2,
puritanical,adjective,C2,
brood,verb,C2,
brood,noun,C2,
disdainful,adjective,C2,
zoologist,noun,C2,
zoology,noun,C2,
encumbrance,noun,C2,
encumber,verb,C2,
hypothesis,noun,C2,
hypothesize,verb,C2,
hypothetical,adjective,C2,
parasitic,adjective,C2,
plumage,noun,C2,
utilitarian,adjective,C2,
utilize,verb,C2,
utility,noun,C2,
predilection,noun,C2,
commensurate,adjective,C2,
commensurately,adverb,C2,
vindicate,verb,C2,
vindication,noun,C2,
parable,noun,C2,
poise,verb,C2,
minster,verb,C2,
wrack,verb,C2,
ironic,adjective,C2,
predecessor,noun,C2,
ally,verb,C2,
callous,adjective,C2,
callously,adverb,C2,
derelict,adjective,C2,
derelict,noun,C2,
materialism,noun,C2,
materialistic,adjective,C2,
ferocity,noun,C2,
utter,adjective,C2,
utter,verb,C2,
evokingly,adverb,C2,
recitation,noun,C2,
equable,adjective,C2,
extant,adjective,C2,
denounce,verb,C2,
denunciation,noun,C2,
echo,noun,C2,
echo,verb,C2,sound
echo,verb,C2,repeat
requisition,noun,C2,
substantiate,verb,C2,
inscrutable,adjective,C2,
stratosphere,noun,C2,
indulge,verb,C2,
indulgence,noun,C2,
indulgently,adverb,C2,
laudatory,adjective,C2,
laud ,verb,C2,
glitz,noun,C2,
glitzy,adjective,C2,
automate,verb,C2,
apprehend,verb,C2,
athleticism,noun,C2,
daunt,verb,C2,
daunting,adjective,C2,
acreage,noun,C2,
affectation,noun,C2,
imposition,noun,C2,
circuit,noun,C2,series of games/matches
stipulate,verb,C2,
stipulation,noun,C2,
allot,verb,C2,
allotment,noun,C2,
anticlimactically,adverb,C2,
forfeiture,noun,C2,
blitz,verb,C2,
blitz,noun,C2,
primeval,adjective,C2,
tenacity,noun,C2,
tenacious,adjective,C2,
tenaciously,adverb,C2,
exact,verb,C2,
genomic,adjective,C2,
genomically,adverb,C2,
capacious,adjective,C2,
utilitarian,adjective,C2,
utilization/utilisation,noun,C2,
unequivocal,adjective,C2,
unequivocally,adverb,C2,
spontaneity,noun,C2,
provocation,noun,C2,
portraiture,noun,C2,
tedium,noun,C2,
succeed,verb,C2,come after somebody/something
circumnavigate,verb,C2,
circumnavigation,noun,C2,
liaise,verb,C2,
contractual,adjective,C2,
contractually,adverb,C2,
repute,noun,C2,
abject,adjective,C2,
sheaf,noun,C2,
articulation,noun,C2,
articulate,adjective,C2,
spurious,adjective,C2,
spuriously,adverb,C2,
posture,verb,C2,
calorific,adjective,C2,
fabulate,verb,C2,
fabulation,noun,C2,
octogenarian,noun,C2,
voracity,noun,C2,
brandish,verb,C2,
repose,verb,C2,
repose,noun,C2,
encumber,verb,C2,
encumbrance,noun,C2,
unencumbered,adjective,C2,
buffoonery,noun,C2,
gauche,adjective,C2,
domesticity,noun,C2,
accrue,verb,C2,
proliferation,noun,C2,
blandishment,noun,C2,
pluck,noun,C2,
anthropological,adjective,C2,
anthropologically,adverb,C2,
carbonize/carbonise,verb,C2,
monastic,adjective,C2,
graft,noun,C2,e.g. bribery
midwifery,noun,C2,
adornment,noun,C2,
adorn,verb,C2,
idle,verb,C2,
conjecture,verb,C2,
conjecture,noun,C2,
malleable,adjective,C2,
malleability,noun,C2,
ore,noun,C2,
gale,noun,C2,
promenade,noun,C2,
testimonial,noun,C2,
distill,verb,C2,
distillation,noun,C2,
informant,noun,C2,
vis-a-vis,preposition,C2,
overlay,verb,C2,
nostalgia,noun,C2,
nostalgic,adjective,C2,
nostalgically,adverb,C2,
grievance,noun,C2,
deprivation,noun,C2,
residue,noun,C2,
residual,adjective,C2,
physiological,adjective,C2,
physiologically,adverb,C2,
familiarize/familiarise,verb,C2,
methodology,noun,C2,
methodological,adjective,C2,
methodologically,adverb,C2,
proportional,adjective,C2,
proportionally,adverb,C2,
habitation,noun,C2,
inartistic,adjective,C2,
ornate,adjective,C2,
modernism,noun,C2,
presuppose,verb,C2,
presupposition,noun,C2,
centralized/centralised,adjective,C2,
envisage,verb,C2,
contextual,adjective,C2,
contextually,adverb,C2,
transmitter,noun,C2,
regulatory,adjective,C2,
archival,adjective,C2,
diffuse,adjective,C2,
diffuse,verb,C2,
egalitarian,adjective,C2,
egalitarian,noun,C2,
hindsight,noun,C2,
materialize/materialise,verb,C2,
materialization/materialisation,noun,C2,
disperse,verb,C2,
dispersal,noun,C2,
adverse,adjective,C2,
adversely,adverb,C2,
stabilize/stabilise,verb,C2,
pervasive,adjective,C2,
pervasiveness,noun,C2,
secure,verb,C2,
autonomous,adjective,C2,
autonomously,adverb,C2,
outmoded,adjective,C2,
phase,noun,C2,
plum,adjective,C2,
notorious,adjective,C2,
notoriously,adverb,C2,
notoriety,noun,C2,
menial,adjective,C2,
insular,adjective,C2,
antidote,noun,C2,
posture,verb,C2,
postural,adjective,C2,
posturing,noun,C2,
revelatory,adjective,C2,
prostrate,verb,C2,
prostrate,adjective,C2,
haphazard,adjective,C2,
haphazardly,adverb,C2,
deficient,adjective,C2,
deficiently,adverb,C2,
deficit,noun,C2,
delicatessen,noun,C2,
muscle-bound,adjective,C2,
dive,noun,C2,run down bar/restaurant
maneuver/manoeuvre,noun,C2,
maneuver/manoeuvre,verb,C2,
posit,verb,C2,
cocoon,verb,C2,
chrysalis,noun,C2,
ignominious,adjective,C2,
ignominiously,adverb,C2,
euphoria,noun,C2,
euphoric,adjective,C2,
euphorically,adverb,C2,
relegate,verb,C2,
succumb,verb,C2,
treacherous,adjective,C2,
treacherously,adverb,C2,
treachery,noun,C2,
maggot,noun,C2,
palate,noun,C2,
palatable,adjective,C2,
hermit,noun,C2,
hermetic,adjective,C2,
irrelevancy,noun,C2,
mariner,noun,C2,
rift,noun,C2,
mere,adjective,C2,
helm,noun,C2,
autopilot,noun,C2,
eminence,noun,C2,
eminent,adjective,C2,
preeminent,adjective,C2,
mold/mould,verb,C2,
unsuspected,adjective,C2,
abolish,verb,C2,
paralyze/paralyse,verb,C2,
paralysis,noun,C2,
paralyzingly/paralysingly,adverb,C2,
glory in,verb,C2,
decentralize/decentralise,verb,C2,
preoccupation,noun,C2,
preoccupy,verb,C2,
prolong,verb,C2,
audit,verb,C2,
audit,noun,C2,
drudgery,noun,C2,
pressurize,verb,C2,
pressurization,noun,C2,
intermediary,noun,C2,
hotelier,noun,C2,
denote,verb,C2,
denotation,noun,C2,
profitability,noun,C2,
jargon,noun,C2,
declination,noun,C2,
vocational,adjective,C2,
spatial,adjective,C2,
spatially,adverb,C2,
punctual,adjective,C2,
punctuality,noun,C2,
integration,noun,C2,
curriculum,noun,C2,
extracurricular,adjective,C2,
extracurricular,noun,C2,
encompass,verb,C2,
all-encompassing,adjective,C2,
accountability,noun,C2,
frolic,verb,C2,
minefield,noun,C2,
side-step,verb,C2,
abundant,adjective,C2,
abundantly,adverb,C2,
abundance,noun,C2,
anarchic,adjective,C2,
crystallize/crystallise,verb,C2,
crystallization/crystallisation,noun,C2,
prescriptive,adjective,C2,
slab,noun,C2,
retrospect,noun,C2,
retrospective,adjective,C2,
retrospection,noun,C2,
wordage,noun,C2,
brevity,noun,C2,
uncanny,adjective,C2,
tactic,noun,C2,
tactical,adjective,C2,
tactically,adverb,C2,
tactile,adjective,C2,
gambit,noun,C2,
babble,verb,C2,
bauble,noun,C2,
correlate,noun,C2,
correlation,noun,C2,
correlate,verb,C2,
combustion,noun,C2,
painstaking,adjective,C2,
painstakingly,adverb,C2,
contraption,noun,C2,
mesh,verb,C2,
enabler,noun,C2,
fluctuate,verb,C2,
fluctuation,noun,C2,
lyricist,noun,C2,
lyrical,adjective,C2,
lyrically,adverb,C2,
bona fide,adjective,C2,
moribund,adjective,C2,
perch,verb,C2,
perch,noun,C2,a high seat or position
perch,noun,C2,kind of fish
solicit,verb,C2,
vocalist,noun,C2,
philanthropy,noun,C2,
philanthropist,noun,C2,
philanthropic,adjective,C2,
philanthropically,adverb,C2,
precocious,adjective,C2,
precociously,adverb,C2,
wordsmith,noun,C2,
connote,verb,C2,
connotation,noun,C2,
herald,verb,C2,
herald,noun,C2,
philistine,noun,C2,
innuendo,noun,C2,
induce,verb,C2,
inducement,noun,C2,
anthology,noun,C2,
lament,verb,C2,
lamentation,noun,C2,
conduit,noun,C2,
chronology,noun,C2,
chronological,adjective,C2,
chronologically,adverb,C2,
equilibrium,noun,C2,
rebound,verb,C2,
rebound,noun,C2,
proposition,noun,C2,
flagging,adjective,C2,
electrode,noun,C2,
caffeinate,verb,C2,
cosmic,adjective,C2,
interlude,noun,C2,
haven,noun,C2,
beneficiary,noun,C2,
recuperate,verb,C2,
recuperation,noun,C2,
recuperative,adjective,C2,
cultish,adjective,C2,
seismic,adjective,C2,
irrevocably,adverb,C2,
irrevocable,adjective,C2,
slither,verb,C2,
unnerve,verb,C2,
unnerving,adjective,C2,
unnervingly,adverb,C2,
protrude,verb,C2,
protrusion,noun,C2,
qualitative,adjective,C2,
procedural,adjective,C2,
procedural,noun,C2,
demystify,verb,C2,
demystification,noun,C2,
proprietary,adjective,C2,
proprietorial,adjective,C2,
tantamount,adjective,C2,
floodgates,noun,C2,
imperceptible,adjective,C2,
imperceptibly,adverb,C2,
hapless,adjective,C2,
catastrophic,adjective,C2,
catastrophically,adverb,C2,
commission,noun,C2,
commission,verb,C2,
wayward,adjective,C2,
blurb,noun,C2,
provincial,adjective,C2,
indolent,adjective,C2,
indolently,adverb,C2,
indolence,noun,C2,
taste-maker,noun,C2,
deviant,noun,C2,
deviant,adjective,C2,
deviantly,adverb,C2,
engender,verb,C2,
emolument,noun,C2,
munificence,noun,C2,
posterity,noun,C2,
venomous,adjective,C2,
venomously,adverb,C2,
choreography,noun,C2,
choreographical,adjective,C2,
archetype,noun,C2,
archetypal,adjective,C2,
dissension,noun,C2,
exalted,adjective,C2,
exaltedly,adverb,C2,
adept,adjective,C2,
adept,noun,C2,
inert,adjective,C2,
hitherto,adverb,C2,
angst,noun,C2,
angsty,adjective,C2,
drabness,noun,C2,
melodious,adjective,C2,
melodiously,adverb,C2,
magpie,noun,C2,
lark,noun,C2,type of bird
lark,noun,C2,thing you do for fun
melancholy,noun,C2,
melancholy,adjective,C2,
meteorology,noun,C2,
meteorological,adjective,C2,
brink,noun,C2,
unsurpassed,adjective,C2,
loiter,verb,C2,
topple,verb,C2,
intrinsic,adjective,C2,
intrinsically,adverb,C2,
merit,noun,C2,
merit,verb,C2,
promotable,adjective,C2,
clinch,verb,C2,
anonymity,noun,C2,
splinter,verb,C2,
reproach,verb,C2,
disseminate,verb,C2,
dissemination,noun,C2,
dissemble,verb,C2,
mangle,verb,C2,
bereft,adjective,C2,
bereftly,adverb,C2,
soliloquy,noun,C2,
solipsism,noun,C2,
soliloquize,verb,C2,
mutinous,adjective,C2,
mutinously,adverb,C2,
prissy,adjective,C2,
reptilian,adjective,C2,
diminish,verb,C2,
undiminishing,adjective,C2,
contagion,noun,C2,
homestead,noun,C2,
computerize/computerise,verb,C2,
incumbent,noun,C2,
incumbent,adjective,C2,
recumbent,adjective,C2,
nonchalant,adjective,C2,
nonchalantly,adverb,C2,
mesmeric,adjective,C2,
stultify,verb,C2,
stultifyingly,adverb,C2,
wallow,verb,C2,
ponderous,adjective,C2,
ponderously,adverb,C2,
lassitude,noun,C2,
vicinity,noun,C2,
ebb,verb,C2,
wax,verb,C2,
wane,verb,C2,
antediluvian,adjective,C2,
ostensible,adjective,C2,
ostensibly,adverb,C2,
interlocking,adjective,C2,
plane,noun,C2,flat surface
undemonstrative,adjective,C2,
undemonstratively,adverb,C2,
menace,noun,C2,
menacing,adjective,C2,
menacingly,adverb,C2,
calamity,noun,C2,
calamitous,adjective,C2,
calamitously,adverb,C2,
nigh,adverb,C2,
austere,adjective,C2,
austerely,adverb,C2,
austerity,noun,C2,
idiosyncrasy,noun,C2,
idiosyncratic,adjective,C2,
idiomatic,adjective,C2,
idiomatically,adverb,C2,
kinetic,adjective,C2,
kinetically,adverb,C2,
unmediated,adjective,C2,
mediate,verb,C2,
mediation,noun,C2,
unharried,adjective,C2,
figurative,adjective,C2,
figuratively,adverb,C2,
exorcism,noun,C2,
exorcist,noun,C2,
mundanity,noun,C2,
mediocrity,noun,C2,
dubiously,adverb,C2,
curate,verb,C2,
curator,noun,C2,
antithesis,noun,C2,
antithetical,adjective,C2,
parameter,noun,C2,
detract,verb,C2,
interrogate,verb,C2,
interrogation,noun,C2,
interrogative,adjective,C2,
interrogatively,adverb,C2,
perverse,adjective,C2,
perversity,noun,C2,
attainment,noun,C2,
opaque,adjective,C2,
opacity,noun,C2,
remit,verb,C2,
remittance,noun,C2,
recourse,noun,C2,
pedestal,noun,C2,
pedestrian,adjective,C2,
lurid,adjective,C2,
luridly,adverb,C2,
fallacy,noun,C2,
rife,adjective,C2,
grumble,verb,C2,
mercenary,noun,C2,
polysyllabic,adjective,C2,
syllabic,adjective,C2,
superfluous,adjective,C2,
superfluously,adverb,C2,
snippet,noun,C2,
practitioner,noun,C2,
ephemeral,adjective,C2,
ephemera,noun,C2,
ephemerality,noun,C2,
summarily,adverb,C2,
skim,verb,C2,
infallibly,adverb,C2,
infallible,adjective,C2,
infallibility,noun,C2,
depravity,noun,C2,
depraved,adjective,C2,
deprecate,verb,C2,
deprecatingly,adverb,C2,
revile,verb,C2,
revulsion,noun,C2,
meager/meagre,adjective,C2,
arcane,adjective,C2,
arcanely,adverb,C2,
porten,noun,C2,
divination,noun,C2,
flit,verb,C2,
hitch,verb,C2,
prone,adjective,C2,
scavenger,noun,C2,
vermin,noun,C2,
totemic,adjective,C2,
emulate,verb,C2,
emulation,noun,C2,
avian,adjective,C2,
vestigial,adjective,C2,
vestigially,adverb,C2,
barometer,noun,C2,
lament,verb,C2,
lamentation,noun,C2,
brouhaha,noun,C2,
magnate,noun,C2,
magnanimous,adjective,C2,
magnanimously,adverb,C2,
magnanimity,noun,C2,
whirlwind,noun,C2,
strait,noun,C2,
secular,adjective,C2,
secularly,adverb,C2,
euphemism,noun,C2,
euphemistic,adjective,C2,
euphemistically,adverb,C2,
condensation,noun,C2,
redundant,adjective,C2,
redundancy,noun,C2,
redundantly,adverb,C2,
colloquial,adjective,C2,
colloquium,noun,C2,
colloquially,adverb,C2,
allusion,noun,C2,
allude,verb,C2,
disparage,verb,C2,
disparaging,adjective,C2,
disparagingly,adverb,C2,
disparagement,noun,C2,
huddle,verb,C2,
huddle,noun,C2,
topography,noun,C2,
topographical,adjective,C2,
topographically,adverb,C2,
confabulate,verb,C2,
confabulation,noun,C2,
surrealist,noun,C2,
surrealism,noun,C2,
contrive,verb,C2,
malice,noun,C2,
malicious,adjective,C2,
maliciously,adverb,C2,
cinematography,noun,C2,
cinematographer,noun,C2,
maverick,noun,C2,
diligent,adjective,C2,
diligence,noun,C2,
diligently,adverb,C2,
turret,noun,C2,
impressionistic,adjective,C2,
impressionistically,adverb,C2,
snobbery,noun,C2,
parochial,adjective,C2,
gravitate,verb,C2,
gravitational,adjective,C2,
gravitationally,adverb,C2,
consternation,noun,C2,
haughty,adjective,C2,
haughtily,adverb,C2,
axiom,noun,C2,
axiomatic,adjective,C2,
attrition,noun,C2,
enduringly,adverb,C2,
reissue,verb,C2,
sulphur,noun,C2,
sulphuric,adjective,C2,
phantom,noun,C2,
moor,noun,C2,
solitary,adjective,C2,
solitary,noun,C2,
solitariness,noun,C2,
solitude,noun,C2,
adhere,verb,C2,
adhesion,noun,C2,
proscribe,verb,C2,
proscription,noun,C2,
crony,noun,C2,
dribble,verb,C2,pour slowly
dribble,verb,C2,bounce a basketball
dribble,noun,C2,
ingrate,noun,C2,
prise,verb,C2,
rickety,adjective,C2,
consign,verb,C2,
consignment,noun,C2,
fete,noun,C2,
dole out,verb,C2,
opulent,adjective,C2,
opulence,noun,C2,
opulently,adverb,C2,
plutocrat,noun,C2,
averse,adjective,C2,
edify,verb,C2,
edification,noun,C2,
converse,adjective,C2,
converse,noun,C2,
sterility,noun,C2,
rhetoric,noun,C2,
rhetorical,adjective,C2,
rhetorically,adverb,C2,
flighty,adjective,C2,
flightiness,noun,C2,
brimstone,noun,C2,
impeccable,adjective,C2,
impeccably,adverb,C2,
romp,verb,C2,
romper,noun,C2,
meticulous,adjective,C2,
meticulously,adverb,C2,
ingratiate,verb,C2,
ingratiating,adjective,C2,
ingratiatingly,adverb,C2,
shimmer,verb,C2,
hull,noun,C2,
cull,verb,C2,
swivel,verb,C2,
relinquish,verb,C2,
quiver,verb,C2,
quiver,noun,C2,
sandwiched,adjective,C2,
mottled,adjective,C2,
epoxy,noun,C2,
resin,noun,C2,
sedately,adverb,C2,
angular,adjective,C2,
angularity,noun,C2,
dampen,verb,C2,reduce the sound of something
buccaneer,verb,C2,
buccaneer,noun,C2,
conglomerate,noun,C2,
cay,noun,C2,
singe,verb,C2,
cordon,verb,C2,
fabled,adjective,C2,
glint,verb,C2,
glint,noun,C2,
infernal,adjective,C2,
infernally,adverb,C2,
presentational,adjective,C2,
embed,verb,C2,
plume,noun,C2,
happenstance,noun,C2,
venture,noun,C2,
reconcile,verb,C2,
reconciliation,noun,C2,
conciliatory,adjective,C2,
conciliation,noun,C2,
preconception,noun,C2,
baroque,adjective,C2,
virginal,adjective,C2,
spire,noun,C2,
elephantine,adjective,C2,
agency,noun,C2,ability to act
condone,verb,C2,
commodity,noun,C2,
commode,noun,C2,
unobtrusive,adjective,C2,
unobtrusively,adverb,C2,
unobtrusiveness,noun,C2,
compellingly,adverb,C2,
hauntingly,adverb,C2,
brim,verb,C2,
hazard,verb,C2,
authenticity,noun,C2,
scholarly,adjective,C2,
accessibility,noun,C2,
cognitive,adjective,C2,
artifact,noun,C2,
preservationist,noun,C2,
qualm,noun,C2,
besiege,verb,C2,
cloister,noun,C2,
cloistered,adjective,C2,
annex,noun,C2,
annex,verb,C2,
resuscitate,verb,C2,
resuscitation,noun,C2,
ravish,verb,C2,
fabricate,verb,C2,
fabrication,noun,C2,
patchy,adjective,C2,
patchily,adverb,C2,
resounding,adjective,C2,
resoundingly,adverb,C2,
resound,verb,C2,
ordain,verb,C2,
inchoate,adjective,C2,
inchoately,adverb,C2,
elated,adjective,C2,
elation,noun,C2,
hysteria,noun,C2,
hysterical,adjective,C2,
hysterically,adverb,C2,
jarring,adjective,C2,
suffuse,verb,C2,
totter,verb,C2,
pyre,noun,C2,
contemptuous,adjective,C2,
contemptuously,adverb,C2,
forlorn,adjective,C2,
forlornly,adverb,C2,
rebuke,verb,C2,
rebuke,noun,C2,
abhorrent,adjective,C2,
abhor,verb,C2,
abhorrently,adverb,C2,
aberration,noun,C2,
emulsify,verb,C2,
emulsification,noun,C2,
emulsifier,noun,C2,
additive,noun,C2,
additive,adjective,C2,
confection,noun,C2,
proximal,adjective,C2,
vandalize,verb,C2,
vandal,noun,C2,
feign,verb,C2,
paradoxical,adjective,C2,
paradoxically,adverb,C2,
laryngitis,noun,C2,
stringent,adjective,C2,
astringent,noun,C2,
stringently,adverb,C2,
standing,noun,C2,
economize/economise,verb,C2,
breadwinner,noun,C2,
cosset,verb,C2,
counsel,noun,C2,
misdemeanor/misdemanour,noun,C2,
aptitude,noun,C2,
torrential,adjective,C2,
banish,verb,C2,
banishment,noun,C2,
knack,noun,C2,
fruition,noun,C2,
tantalize/tantalise,verb,C2,
tantalizingly/tantalisingly,adverb,C2,
maelstrom,noun,C2,
vortex,noun,C2,
depressive,adjective,C2,
shoal,noun,C2,
scroll,noun,C2,
collide,verb,C2,
collider,noun,C2,
edifice,noun,C2,
thicket,noun,C2,
leaven,verb,C2,
leavening,noun,C2,
ethos,noun,C2,
exhibitionist,noun,C2,
interweave,verb,C2,
burgeoning,adjective,C2,
indiscrete,adjective,C2,
indiscretion,noun,C2,
telescopic,adjective,C2,
telescopically,adverb,C2,
amorphous,adjective,C2,
amorphously,adverb,C2,
hamper,verb,C2,
proliferate,verb,C2,
proliferation,noun,C2,
deterrent,noun,C2,
selectivity,noun,C2,
fractious,adjective,C2,
mystique,noun,C2,
assimilate,verb,C2,
assimilation,noun,C2,
intersperse,verb,C2,
verbatim,adjective,C2,
verbatim,adverb,C2,
verily,adverb,C2,
veritable,adjective,C2,
verisimilitude,noun,C2,
artifice,noun,C2,
advantageous,adjective,C2,
unfeasible,adjective,C2,
unfeasibly,adverb,C2,
behest,noun,C2,
virtuoso,noun,C2,
virtuosity,noun,C2,
cascade,verb,C2,
cascade,noun,C2,
crippling,adjective,C2,
nascent,adjective,C2,
smattering,noun,C2,
corpus,noun,C2,
wheeze,verb,C2,
neophyte,noun,C2,
coax,verb,C2,
formidably,adverb,C2,
formidable,adjective,C2,
squint,verb,C2,
hoist,verb,C2,
flatout,adverb,C2,
buzzard,noun,C2,
bogus,adjective,C2,
derision,noun,C2,
derisive,adjective,C2,
derisively,adverb,C2,
truism,noun,C2,
prurient,adjective,C2,
wither,verb,C2,
prurience,noun,C2,
tetchy,adjective,C2,
agile,adjective,C2,
agility,noun,C2,
aghast,adjective,C2,
dwarf,verb,C2,
dwarfism,noun,C2,
etch,verb,C2,
etching,noun,C2,
rapture,noun,C2,
rapturous,adjective,C2,
rapturously,adverb,C2,
ad lib,adjective,C2,
ad-lib,verb,C2,
improvisational,adjective,C2,
acrobatics,noun,C2,
acrobatically,adverb,C2,
acrobatic,adjective,C2,
arduous,adjective,C2,
ardor/ardour,noun,C2,
arduously,adverb,C2,
counterproductive,adjective,C2,
counterproductively,adverb,C2,
proverbial,adjective,C2,
instantaneous,adjective,C2,
instantaneously,adverb,C2,
mull over,verb,C2,
ruminate,verb,C2,
rumination,noun,C2,
ruminant,adjective,C2,
ruminative,adjective,C2,
hover,verb,C2,
armory/armoury,noun,C2,
apostle,noun,C2,
blubber,noun,C2,
blubbery,adjective,C2,
merger,noun,C2,
trifle,noun,C2,
trifle,verb,C2,
eke out,verb,C2,
paramount,adjective,C2,
squirm,verb,C2,
squirmy,adjective,C2,
floe,noun,C2,
embody,verb,C2,
embodiment,noun,C2,
wistful,adjective,C2,
wistfully,adverb,C2,
mercantile,adjective,C2,
skew,verb,C2,
subsist,verb,C2,
subsistence,noun,C2,
subsidy,noun,C2,
subsidize,verb,C2,
legion,noun,C2,
confrontational,adjective,C2,
confrontationally,adverb,C2,
bout,noun,C2,
gout,noun,C2,
hinder,verb,C2,
hindrance,noun,C2,
myriad,adjective,C2,
histrionic,adjective,C2,
histrionically,adverb,C2,
marketability,noun,C2,
promotable,adjective,C2,
tacit,adjective,C2,
tacitly,adverb,C2,
taciturn,adjective,C2,
taciturnity,noun,C2,
surreptitious,adjective,C2,
surreptitiously,adverb,C2,
allegory,noun,C2,
allegorical,adjective,C2,
seedy,adjective,C2,"run down, untrustworthy"
punitive,adjective,C2,
punitively,adverb,C2,
temper,verb,C2,
milieu,noun,C2,
self-aggrandizement/self-aggrandisement,noun,C2,
unadulterated,adjective,C2,
adulterate,verb,C2,
patronize/patronise,verb,C2,
patronizing/patronising,adjective,C2,
patronizingly/patronisingly,adverb,C2,
cogent,adjective,C2,
cogently,adverb,C2,
relegate,verb,C2,
incongruous,adjective,C2,
incongruously,adverb,C2,
incongruity,noun,C2,
deaden,verb,C2,
attuned,adjective,C2,
attributive,adjective,C2,
ecotourism,noun,C2,
surge,verb,C2,
surge,noun,C2,
farcical,adjective,C2,
incise,verb,C2,
incipient,adjective,C2,
echolocation,noun,C2,
echolocate,verb,C2,
reverb,noun,C2,
reverberation,noun,C2,
reverberate,verb,C2,
ingenuous,adjective,C2,
ingenuously,adverb,C2,
impresario,noun,C2,
elasticity,noun,C2,
synthesis,noun,C2,
salivary,adjective,C2,
hypnotherapy,noun,C2,
wholly,adverb,C2,
remorseful,adjective,C2,
remonstrate,vern,C2,
remonstrance,noun,C2,
unexcused,adjective,C2,
unexceptionally,adverb,C2,
unexceptional,adjective,C2,
inexorable,adjective,C2,
inexorably,adverb,C2,
inexorability,noun,C2,
tranquilize/tranquilise,verb,C2,
